model,horizon,mae,rmse,wape,mape,r2,mean_bias
Previous Day,23,561.3196671961012,831.5800540784761,11.461029666537186,12.366250982841153,0.5820866819369682,-40.91877346714496
Previous Day,24,558.303827448402,826.6393172068515,11.392710607383567,12.277710222853502,0.587195292935458,-43.03542899420461
Previous Week,1,1063.3727272304016,1516.2284032694677,21.86636498332351,24.67890532040076,-0.38307957956093164,-215.1399279970871
Previous Week,2,1065.0760316051487,1517.9380089756005,21.927617584807997,24.748665721633284,-0.3830364875180656,-215.1154517885712
Previous Week,3,1068.5633420347554,1521.142306860895,21.99813750363184,24.853636833245826,-0.38943049332883883,-216.72936677304327
Previous Week,4,1071.9765466155006,1524.5128609427013,22.0687085129892,24.96747995411394,-0.3954970178353072,-217.97773698525853
Previous Week,5,1075.4553529043205,1527.6005227855692,22.14013926266964,25.088812929633452,-0.40091322875876556,-219.35771175233936
Previous Week,6,1078.2105508856869,1529.854687346093,22.196976726513938,25.17920344427804,-0.4056512184914316,-220.59643846041382
Previous Week,7,1080.5601859788546,1531.251774397638,22.24371858629412,25.24685141754916,-0.41032635957462715,-221.9413996405381
Previous Week,8,1082.0532365740928,1531.915414122642,22.267948923675505,25.280138818346902,-0.41637897844877525,-223.72437389002047
Previous Week,9,1083.3640310875503,1532.4036980227893,22.28376168789071,25.302148435651382,-0.42348681726952386,-226.12776286517567
Previous Week,10,1084.926175885687,1533.2954267311322,22.301033797480944,25.325444056292202,-0.4309307117700425,-229.48237919540344
Previous Week,11,1085.8310885409664,1534.3097916278246,22.302515392921194,25.327294052176068,-0.43757893947839865,-233.89752735792933
Previous Week,12,1087.4560393691238,1535.74176351716,22.317694537835436,25.341507087553914,-0.4434051910411636,-239.23192823784655
Previous Week,13,1089.7806861082543,1537.5502704957828,22.34594907682631,25.372472848200317,-0.4486055087767469,-245.2748720784262
Previous Week,14,1093.4922997210908,1540.0769108287855,22.40615778103393,25.43920717226589,-0.454285724833863,-250.38764769954426
Previous Week,15,1097.3039955026643,1542.9267396239336,22.474465163434623,25.521735639609176,-0.46075268378292056,-254.4419081809107
Previous Week,16,1101.5950404043203,1547.0547422903257,22.555958197774306,25.619858866226053,-0.46955213803191787,-259.10142099146975
Previous Week,17,1105.8390951403453,1551.6557556076689,22.632997416872243,25.71036815888796,-0.47592141679555744,-265.4322769697306
Previous Week,18,1109.8223456579437,1556.5157847158896,22.701880995627814,25.79341866776097,-0.48127496072324805,-272.262953729565
Previous Week,19,1113.7244696933287,1560.860646655709,22.767385504817835,25.876126631369743,-0.48587825646557437,-278.7190775061507
Previous Week,20,1116.0639863024012,1563.4363359655144,22.807625249518246,25.91997283085164,-0.4840649509571755,-285.4607438188267
Previous Week,21,1118.6331665454836,1566.0537188908606,22.848204296653453,25.97638760871629,-0.4863745249016975,-291.8840396553925
Previous Week,22,1121.083103367283,1568.4925053436345,22.90176438733966,26.039688909215037,-0.4834618390684755,-296.94755590372165
Previous Week,23,1125.2105430647491,1572.5657241602548,22.971882000933437,26.148974723342732,-0.49141439671314946,-302.67955814517785
